date,open,high,low,close,volume
2022-02-15,9589.21,9658.631,9579.588,9654.329,8275700400
2022-02-16,9698.572,9751.519,9679.347,9703.656,8033900600
2022-02-17,9706.133,9769.551,9685.211,9720.354,8197619500
2022-02-18,9676.717,9788.827,9662.684,9788.827,7731582200
2022-02-21,9772.731,9775.176,9706.433,9751.888,7831363600
2022-02-22,9684.823,9685.32,9589.74,9637.455,8672924100
2022-02-23,9649.359,9711.411,9629.174,9705.042,8740398100
2022-02-24,9647.958,9678.149,9446.091,9522.289,13476628000
2022-02-25,9580.71,9669.576,9558.251,9585.059,11457405800
2022-02-28,9568.748,9609.172,9506.349,9609.172,9981661900
2022-03-01,9646.052,9724.791,9640.088,9715.795,8922737900
2022-03-02,9666.961,9682.634,9628.648,9663.365,8368458800
2022-03-03,9697.653,9713.486,9613.652,9633.018,10552858500
2022-03-04,9557.115,9599.238,9504.784,9532.375,9256668500
2022-03-07,9479.47,9479.47,9252.395,9284.288,11664570500
2022-03-08,9297.875,9350.959,9090.407,9116.968,12128872800
2022-03-09,9154.569,9203.45,8711.886,9026.025,13802081100
2022-03-10,9216.106,9230.251,9118.205,9125.702,10146435300
2022-03-11,9014.238,9172.34,8888.492,9149.589,10864844000
2022-03-14,9016.015,9107.2,8898.115,8898.115,9338740800
2022-03-15,8784.202,8835.661,8455.817,8455.817,14702910600
2022-03-16,8588.35,8840.224,8382.833,8816.299,14040335300
2022-03-17,8976.236,9074.933,8903.944,8941.533,12718748100
2022-03-18,8911.299,9069.238,8875.569,9039.467,11110584000
2022-03-21,9049.876,9054.86,8926.224,9003.61,8910438000
2022-03-22,8993.627,9076.206,8970.404,9017.762,9102634000
2022-03-23,9037.127,9080.94,8986.218,9049.476,8417912700
2022-03-24,8990.93,9045.43,8944.964,9000.576,7765036300
2022-03-25,8990.687,9013.586,8853.994,8857.307,7841985500
2022-03-28,8749.781,8888.274,8689.465,8847.634,8613966800
2022-03-29,8857.915,8902.132,8798.531,8814.927,7026110600
2022-03-30,8871.242,9028.193,8865.45,9028.193,9501626500
2022-03-31,8987.276,9025.656,8958.149,8970.031,9632006100
